KEY_ID,KEYNAME,VALUE,DESCRIPTION
CS1,CustomerStatus,ACTIVE,ACTIVE
CS2,CustomerStatus,INACTIVE,INACTIVE
CS3,CustomerStatus,CREATED,CREATED
